candidate,electorate,party,progress
 Dave GREEN,Yerrabi,LIBERAL DEMOCRATS,"[766.0, 766.0, 773.0, 778.0, 782.0, 785.0, 799.0, 802.0, 1115.0, 1152.0, 1163.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Declan KEATING,Yerrabi,LIBERAL DEMOCRATS,"[630.0, 630.0, 630.0, 638.0, 639.0, 640.0, 659.0, 660.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Alistair COE,Yerrabi,CANBERRA LIBERALS,"[7259.0, 7259.0, 7265.0, 7295.0, 7307.0, 7320.0, 7350.0, 7357.0, 7391.0, 7440.0, 7445.0, 7613.0, 7639.0, 8026.0, 8171.0, 8342.0, 8387.0, 8400.0, 9600.0, 9600.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0]"
 Amanda LYNCH,Yerrabi,CANBERRA LIBERALS,"[2658.0, 2658.0, 2664.0, 2674.0, 2681.0, 2694.0, 2713.0, 2715.0, 2771.0, 2795.0, 2803.0, 2983.0, 2995.0, 3375.0, 3460.0, 3615.0, 3660.0, 3663.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jacob VADAKKEDATHU,Yerrabi,CANBERRA LIBERALS,"[3146.0, 3146.0, 3150.0, 3156.0, 3160.0, 3169.0, 3183.0, 3189.0, 3242.0, 3264.0, 3274.0, 3423.0, 3443.0, 3711.0, 3783.0, 3889.0, 4218.0, 4252.0, 4917.0, 4917.0, 5256.0, 5355.0, 5355.0, 5358.0, 5511.0, 5512.0, 5520.0, 5678.0, 5754.0, 461.0]"
 James MILLIGAN,Yerrabi,CANBERRA LIBERALS,"[3872.0, 3872.0, 3875.0, 3891.0, 3903.0, 3915.0, 3938.0, 3940.0, 4011.0, 4051.0, 4055.0, 4237.0, 4263.0, 4660.0, 4775.0, 4908.0, 4947.0, 4953.0, 6128.0, 6128.0, 6781.0, 6897.0, 6899.0, 6899.0, 7028.0, 7032.0, 7032.0, 7186.0, 7249.0, 10923.0]"
 Justin STATES,Yerrabi,CANBERRA LIBERALS,"[1431.0, 1431.0, 1435.0, 1443.0, 1443.0, 1446.0, 1455.0, 1455.0, 1504.0, 1519.0, 1529.0, 1638.0, 1645.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Casey HEFFERNAN,Yerrabi,LIKE CANBERRA,"[246.0, 246.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Tim BOHM,Yerrabi,LIKE CANBERRA,"[409.0, 409.0, 535.0, 547.0, 556.0, 576.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Paul GABRIEL,Yerrabi,SUSTAINABLE AUSTRALIA (ACT),"[262.0, 262.0, 276.0, 282.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Violet SHERIDAN,Yerrabi,SUSTAINABLE AUSTRALIA (ACT),"[470.0, 470.0, 483.0, 490.0, 652.0, 686.0, 763.0, 780.0, 793.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Deepak-Raj GUPTA,Yerrabi,ACT LABOR,"[2973.0, 2973.0, 2977.0, 2983.0, 2986.0, 2996.0, 3010.0, 3032.0, 3039.0, 3058.0, 3081.0, 3118.0, 3137.0, 3147.0, 3196.0, 3288.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Jayson HINDER,Yerrabi,ACT LABOR,"[3206.0, 3206.0, 3210.0, 3213.0, 3220.0, 3232.0, 3255.0, 3273.0, 3281.0, 3296.0, 3328.0, 3350.0, 3375.0, 3390.0, 3465.0, 3613.0, 4163.0, 4358.0, 4458.0, 4458.0, 4471.0, 208.0, 195.0, nan, nan, nan, nan, nan, nan, nan]"
 Meegan FITZHARRIS,Yerrabi,ACT LABOR,"[7790.0, 7790.0, 7795.0, 7801.0, 7812.0, 7826.0, 7860.0, 7870.0, 7881.0, 7926.0, 7979.0, 8009.0, 8052.0, 8071.0, 8281.0, 8455.0, 9293.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0, 8543.0]"
 Michael PETTERSSON,Yerrabi,ACT LABOR,"[4817.0, 4817.0, 4823.0, 4831.0, 4838.0, 4852.0, 4874.0, 4881.0, 4885.0, 4924.0, 4961.0, 4988.0, 5030.0, 5054.0, 5178.0, 5345.0, 5968.0, 6189.0, 6258.0, 6258.0, 6268.0, 7956.0, 7958.0, 8086.0, 9309.0, 9309.0, 9309.0, 8543.0, 8543.0, 8543.0]"
 Suzanne ORR,Yerrabi,ACT LABOR,"[3726.0, 3726.0, 3731.0, 3738.0, 3743.0, 3754.0, 3780.0, 3789.0, 3800.0, 3839.0, 3894.0, 3918.0, 3927.0, 3976.0, 4066.0, 4240.0, 4783.0, 5022.0, 5124.0, 5124.0, 5141.0, 6806.0, 6808.0, 6855.0, 8683.0, 8683.0, 8683.0, 8683.0, 8543.0, 8543.0]"
 Andrew BRADDOCK,Yerrabi,THE GREENS,"[747.0, 747.0, 747.0, 748.0, 752.0, 773.0, 785.0, 995.0, 1001.0, 1056.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Tobias HOLM,Yerrabi,THE GREENS,"[555.0, 555.0, 560.0, 562.0, 568.0, 583.0, 597.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Veronica WENSING,Yerrabi,THE GREENS,"[2332.0, 2332.0, 2338.0, 2343.0, 2351.0, 2407.0, 2435.0, 2687.0, 2690.0, 2799.0, 3535.0, 3567.0, 3621.0, 3637.0, 3854.0, 4379.0, 4531.0, 4567.0, 4669.0, 4669.0, 4691.0, 4958.0, 4958.0, 4968.0, 68.0, 46.0, nan, nan, nan, nan]"
 Andrew DEWSON,Yerrabi,AUSTRALIAN SEX PARTY ACT,"[1055.0, 1055.0, 1063.0, 1075.0, 1087.0, 1124.0, 1173.0, 1185.0, 1188.0, 1229.0, 1239.0, 1277.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Susie KENNETT,Yerrabi,AUSTRALIAN SEX PARTY ACT,"[979.0, 979.0, 988.0, 999.0, 999.0, 1049.0, 1114.0, 1128.0, 1136.0, 1233.0, 1265.0, 1304.0, 2202.0, 2235.0, 2550.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Daniel EVANS,Yerrabi,UNGROUPED,"[255.0, 255.0, 257.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 David POLLARD,Yerrabi,UNGROUPED,"[1211.0, 1211.0, 1216.0, 1274.0, 1279.0, 1411.0, 1489.0, 1492.0, 1494.0, 1607.0, 1623.0, 1697.0, 1762.0, 1779.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
 Mandy COTTINGHAM,Yerrabi,UNGROUPED,"[458.0, 458.0, 460.0, 483.0, 485.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
exhausted,Yerrabi,nan,"[nan, nan, 2.0, 9.0, 10.0, 15.0, 21.0, 23.0, 31.0, 65.0, 79.0, 131.0, 162.0, 192.0, 474.0, 1179.0, 1303.0, 1303.0, 1550.0, 1551.0, 1551.0, 1979.0, 1982.0, 1986.0, 3553.0, 3568.0, 3605.0, 3605.0, 3605.0, 5224.0]"
